"#","Date Time, GMT-04:00","Temp, °C","Coupler Detached","Coupler Attached","Host Connected","Stopped","End Of File"
1,04/08/24 07:00:00,24.629,Logged,,,,
2,04/08/24 07:15:00,24.605,,,,,
3,04/08/24 07:30:00,24.605,,,,,
4,04/08/24 07:45:00,24.581,,,,,
5,04/08/24 08:00:00,24.557,,,,,
6,04/08/24 08:15:00,24.532,,,,,
7,04/08/24 08:30:00,24.532,,,,,
8,04/08/24 08:45:00,24.557,,,,,
9,04/08/24 09:00:00,24.557,,,,,
10,04/08/24 09:15:00,24.557,,,,,
11,04/08/24 09:30:00,24.557,,,,,
12,04/08/24 09:45:00,24.557,,,,,
13,04/08/24 10:00:00,24.557,,,,,
14,04/08/24 10:15:00,24.557,,,,,
15,04/08/24 10:30:00,24.557,,,,,
16,04/08/24 10:45:00,24.532,,,,,
17,04/08/24 11:00:00,24.508,,,,,
18,04/08/24 11:15:00,24.484,,,,,
19,04/08/24 11:30:00,24.460,,,,,
20,04/08/24 11:45:00,24.436,,,,,
21,04/08/24 12:00:00,24.412,,,,,
22,04/08/24 12:15:00,24.388,,,,,
23,04/08/24 12:30:00,24.363,,,,,
24,04/08/24 12:45:00,24.315,,,,,
25,04/08/24 13:00:00,24.315,,,,,
26,04/08/24 13:15:00,24.267,,,,,
27,04/08/24 13:30:00,24.243,,,,,
28,04/08/24 13:45:00,24.219,,,,,
29,04/08/24 14:00:00,24.219,,,,,
30,04/08/24 14:15:00,24.195,,,,,
31,04/08/24 14:30:00,24.195,,,,,
32,04/08/24 14:45:00,24.195,,,,,
33,04/08/24 15:00:00,24.171,,,,,
34,04/08/24 15:15:00,24.171,,,,,
35,04/08/24 15:30:00,24.171,,,,,
36,04/08/24 15:45:00,24.171,,,,,
37,04/08/24 16:00:00,24.195,,,,,
38,04/08/24 16:15:00,24.219,,,,,
39,04/08/24 16:30:00,24.219,,,,,
40,04/08/24 16:45:00,24.219,,,,,
41,04/08/24 17:00:00,24.219,,,,,
42,04/08/24 17:15:00,24.219,,,,,
43,04/08/24 17:30:00,24.219,,,,,
44,04/08/24 17:45:00,24.219,,,,,
45,04/08/24 18:00:00,24.195,,,,,
46,04/08/24 18:15:00,24.195,,,,,
47,04/08/24 18:30:00,24.195,,,,,
48,04/08/24 18:45:00,24.171,,,,,
49,04/08/24 19:00:00,24.171,,,,,
50,04/08/24 19:15:00,24.146,,,,,
51,04/08/24 19:30:00,24.146,,,,,
52,04/08/24 19:45:00,24.122,,,,,
53,04/08/24 20:00:00,24.122,,,,,
54,04/08/24 20:15:00,24.098,,,,,
55,04/08/24 20:30:00,24.098,,,,,
56,04/08/24 20:45:00,24.074,,,,,
57,04/08/24 21:00:00,24.050,,,,,
58,04/08/24 21:15:00,24.050,,,,,
59,04/08/24 21:30:00,24.026,,,,,
60,04/08/24 21:45:00,24.026,,,,,
61,04/08/24 22:00:00,24.002,,,,,
62,04/08/24 22:15:00,23.978,,,,,
63,04/08/24 22:30:00,23.978,,,,,
64,04/08/24 22:45:00,23.954,,,,,
65,04/08/24 23:00:00,23.954,,,,,
66,04/08/24 23:15:00,23.954,,,,,
67,04/08/24 23:30:00,23.954,,,,,
68,04/08/24 23:45:00,23.978,,,,,
69,04/09/24 00:00:00,23.978,,,,,
70,04/09/24 00:15:00,24.002,,,,,
71,04/09/24 00:30:00,24.002,,,,,
72,04/09/24 00:45:00,24.026,,,,,
73,04/09/24 01:00:00,24.026,,,,,
74,04/09/24 01:15:00,24.050,,,,,
75,04/09/24 01:30:00,24.074,,,,,
76,04/09/24 01:45:00,24.074,,,,,
77,04/09/24 02:00:00,24.098,,,,,
78,04/09/24 02:15:00,24.122,,,,,
79,04/09/24 02:30:00,24.122,,,,,
80,04/09/24 02:45:00,24.146,,,,,
81,04/09/24 03:00:00,24.171,,,,,
82,04/09/24 03:15:00,24.171,,,,,
83,04/09/24 03:30:00,24.195,,,,,
84,04/09/24 03:45:00,24.219,,,,,
85,04/09/24 04:00:00,24.219,,,,,
86,04/09/24 04:15:00,24.243,,,,,
87,04/09/24 04:30:00,24.243,,,,,
88,04/09/24 04:45:00,24.267,,,,,
89,04/09/24 05:00:00,24.291,,,,,
90,04/09/24 05:15:00,24.291,,,,,
91,04/09/24 05:30:00,24.315,,,,,
92,04/09/24 05:45:00,24.315,,,,,
93,04/09/24 06:00:00,24.315,,,,,
94,04/09/24 06:15:00,24.291,,,,,
95,04/09/24 06:30:00,24.291,,,,,
96,04/09/24 06:45:00,24.267,,,,,
97,04/09/24 07:00:00,24.243,,,,,
98,04/09/24 07:15:00,24.243,,,,,
99,04/09/24 07:30:00,24.219,,,,,
100,04/09/24 07:45:00,24.195,,,,,
101,04/09/24 08:00:00,24.171,,,,,
102,04/09/24 08:15:00,24.146,,,,,
103,04/09/24 08:30:00,24.122,,,,,
104,04/09/24 08:45:00,24.122,,,,,
105,04/09/24 09:00:00,24.098,,,,,
106,04/09/24 09:15:00,24.074,,,,,
107,04/09/24 09:30:00,24.050,,,,,
108,04/09/24 09:45:00,24.026,,,,,
109,04/09/24 10:00:00,24.026,,,,,
110,04/09/24 10:15:00,24.026,,,,,
111,04/09/24 10:30:00,24.026,,,,,
112,04/09/24 10:45:00,24.026,,,,,
113,04/09/24 11:00:00,24.026,,,,,
114,04/09/24 11:15:00,24.026,,,,,
115,04/09/24 11:30:00,24.026,,,,,
116,04/09/24 11:45:00,24.026,,,,,
117,04/09/24 12:00:00,24.026,,,,,
118,04/09/24 12:15:00,24.026,,,,,
119,04/09/24 12:30:00,24.026,,,,,
120,04/09/24 12:45:00,24.026,,,,,
121,04/09/24 13:00:00,24.026,,,,,
122,04/09/24 13:15:00,24.026,,,,,
123,04/09/24 13:30:00,24.026,,,,,
124,04/09/24 13:45:00,24.026,,,,,
125,04/09/24 14:00:00,24.026,,,,,
126,04/09/24 14:15:00,24.050,,,,,
127,04/09/24 14:30:00,24.050,,,,,
