"#","Date Time, GMT-04:00","Temp, °C","Coupler Detached","End Of File"
1,06/13/23 00:00:00,24.871,Logged,
2,06/13/23 00:15:00,24.823,,
3,06/13/23 00:30:00,24.774,,
4,06/13/23 00:45:00,24.726,,
5,06/13/23 01:00:00,24.677,,
6,06/13/23 01:15:00,24.629,,
7,06/13/23 01:30:00,24.581,,
8,06/13/23 01:45:00,24.532,,
9,06/13/23 02:00:00,24.484,,
10,06/13/23 02:15:00,24.460,,
11,06/13/23 02:30:00,24.436,,
12,06/13/23 02:45:00,24.412,,
13,06/13/23 03:00:00,24.363,,
14,06/13/23 03:15:00,24.339,,
15,06/13/23 03:30:00,24.315,,
16,06/13/23 03:45:00,24.315,,
17,06/13/23 04:00:00,24.291,,
18,06/13/23 04:15:00,24.267,,
19,06/13/23 04:30:00,24.243,,
20,06/13/23 04:45:00,24.219,,
21,06/13/23 05:00:00,24.219,,
22,06/13/23 05:15:00,24.195,,
23,06/13/23 05:30:00,24.171,,
24,06/13/23 05:45:00,24.146,,
25,06/13/23 06:00:00,24.122,,
26,06/13/23 06:15:00,24.122,,
27,06/13/23 06:30:00,24.098,,
28,06/13/23 06:45:00,24.074,,
29,06/13/23 07:00:00,24.098,,
30,06/13/23 07:15:00,24.146,,
31,06/13/23 07:30:00,24.195,,
32,06/13/23 07:45:00,24.243,,
33,06/13/23 08:00:00,24.267,,
34,06/13/23 08:15:00,24.339,,
35,06/13/23 08:30:00,24.412,,
36,06/13/23 08:45:00,24.484,,
37,06/13/23 09:00:00,24.581,,
38,06/13/23 09:15:00,24.726,,
39,06/13/23 09:30:00,24.750,,
40,06/13/23 09:45:00,24.847,,
41,06/13/23 10:00:00,25.016,,
42,06/13/23 10:15:00,25.186,,
43,06/13/23 10:30:00,25.380,,
44,06/13/23 10:45:00,25.574,,
45,06/13/23 11:00:00,25.768,,
46,06/13/23 11:15:00,25.914,,
47,06/13/23 11:30:00,26.085,,
48,06/13/23 11:45:00,26.231,,
49,06/13/23 12:00:00,26.378,,
50,06/13/23 12:15:00,26.549,,
51,06/13/23 12:30:00,26.695,,
52,06/13/23 12:45:00,27.038,,
53,06/13/23 13:00:00,27.284,,
54,06/13/23 13:15:00,27.505,,
55,06/13/23 13:30:00,27.899,,
56,06/13/23 13:45:00,28.419,,
57,06/13/23 14:00:00,28.717,,
58,06/13/23 14:15:00,29.090,,
59,06/13/23 14:30:00,29.315,,
60,06/13/23 14:45:00,29.115,,
61,06/13/23 15:00:00,28.816,,
62,06/13/23 15:15:00,28.568,,
63,06/13/23 15:30:00,28.369,,
64,06/13/23 15:45:00,28.171,,
65,06/13/23 16:00:00,27.998,,
66,06/13/23 16:15:00,27.850,,
67,06/13/23 16:30:00,27.751,,
68,06/13/23 16:45:00,27.727,,
69,06/13/23 17:00:00,27.579,,
70,06/13/23 17:15:00,27.456,,
71,06/13/23 17:30:00,27.333,,
72,06/13/23 17:45:00,27.087,,
73,06/13/23 18:00:00,26.867,,
74,06/13/23 18:15:00,26.671,,
75,06/13/23 18:30:00,26.500,,
76,06/13/23 18:45:00,26.329,,
77,06/13/23 19:00:00,26.182,,
78,06/13/23 19:15:00,26.012,,
79,06/13/23 19:30:00,25.890,,
80,06/13/23 19:45:00,25.768,,
81,06/13/23 20:00:00,25.671,,
82,06/13/23 20:15:00,25.598,,
83,06/13/23 20:30:00,25.501,,
84,06/13/23 20:45:00,25.720,,
85,06/13/23 21:00:00,26.061,,
86,06/13/23 21:15:00,26.231,,
87,06/13/23 21:30:00,26.012,,
88,06/13/23 21:45:00,25.186,,
89,06/13/23 22:00:00,24.629,,
90,06/13/23 22:15:00,24.146,,
91,06/13/23 22:30:00,23.641,,
92,06/13/23 22:45:00,23.208,,
93,06/13/23 23:00:00,22.776,,
94,06/13/23 23:15:00,22.393,,
95,06/13/23 23:30:00,22.058,,
96,06/13/23 23:45:00,21.795,,
97,06/14/23 00:00:00,21.533,,
98,06/14/23 00:15:00,21.366,,
99,06/14/23 00:30:00,21.175,,
100,06/14/23 00:45:00,21.056,,
101,06/14/23 01:00:00,20.889,,
102,06/14/23 01:15:00,20.793,,
103,06/14/23 01:30:00,20.674,,
104,06/14/23 01:45:00,20.627,,
105,06/14/23 02:00:00,20.555,,
106,06/14/23 02:15:00,20.484,,
107,06/14/23 02:30:00,20.436,,
108,06/14/23 02:45:00,20.388,,
109,06/14/23 03:00:00,20.341,,
110,06/14/23 03:15:00,20.293,,
111,06/14/23 03:30:00,20.269,,
112,06/14/23 03:45:00,20.222,,
113,06/14/23 04:00:00,20.198,,
114,06/14/23 04:15:00,20.150,,
115,06/14/23 04:30:00,20.150,,
116,06/14/23 04:45:00,20.079,,
117,06/14/23 05:00:00,20.079,,
118,06/14/23 05:15:00,20.007,,
119,06/14/23 05:30:00,20.031,,
120,06/14/23 05:45:00,20.007,,
121,06/14/23 06:00:00,19.984,,
122,06/14/23 06:15:00,19.984,,
123,06/14/23 06:30:00,19.960,,
124,06/14/23 06:45:00,20.007,,
125,06/14/23 07:00:00,20.174,,
126,06/14/23 07:15:00,20.341,,
127,06/14/23 07:30:00,20.484,,
128,06/14/23 07:45:00,20.793,,
129,06/14/23 08:00:00,21.270,,
130,06/14/23 08:15:00,21.700,,
131,06/14/23 08:30:00,21.939,,
132,06/14/23 08:45:00,22.178,,
133,06/14/23 09:00:00,22.489,,
134,06/14/23 09:15:00,22.705,,
135,06/14/23 09:30:00,22.896,,
136,06/14/23 09:45:00,23.064,,
